,Название,Кислотность,Цена за килограмм,Кислотность минимальная,Кислотность максимальная,Кислотность итоговая
0,Хмель Грейнрус Перле,"4,5%",1008,4.5,4.5,4.5
1,Хмель Грейнрус Халлертауэр Магнум,"9,5%",1008,9.5,9.5,9.5
2,Хмель Грейнрус Наггет,"7,6-10,3%",1425,7.6,10.3,8.95
3,Хмель Грейнрус Мандарина Бавария,"5,2%",1425,5.2,5.2,5.2
4,Хмель Грейнрус Каскад,"3,4-3,7%",1425,3.4,3.7,3.55
5,Хмель Грейнрус Сапфир,"2,7%",1425,2.7,2.7,2.7
6,Хмель Грейнрус Геркулес,"11,4%",1008,11.4,11.4,11.4
7,Хмель Теттнангер,"2,8%",2770,2.8,2.8,2.8
8,"Хмель ""Ист Кент Голдинг"" (East Kent Golding)","7,1%",3447,7.1,7.1,7.1
9,"Хмель ""Цитра"" (Citra)","12,7%",4202,12.7,12.7,12.7
10,"Хмель ""Коламбус"" (Columbus)",13.9%,2359,13.9,13.9,13.9
11,"Хмель""Чинук""","11,1%",2947,11.1,11.1,11.1
12,"Хмель ""Каскад"" (Cascade)","5,4-5,7%",1856,5.4,5.7,5.550000000000001
13,"Хмель ""Халлертау Миттельфрю"" (Hallertau Mittelfruh)","3,0-3,4%",2597,3.0,3.4,3.2
14,"Хмель ""Херсбруккер"" (Hersbruker)","2,9-3,2%",2561,2.9,3.2,3.05
15,"Хмель ""Геркулес"" (Hercules)","13,8-17,3%",2068,13.8,17.3,15.55
16,"Хмель ""Перле"" (Perle)","5,6-6,2%",1490,5.6,6.2,5.9
17,"Хмель ""Традицион"" (Tradition)","4,8-5,1%",1582,4.8,5.1,4.949999999999999
18,"Хмель ""Сапфир"" (Sapfir)","2,9%",2523,2.9,2.9,2.9
19,"Хмель ""Магнум"" (Magnum)","12,2%",2016,12.2,12.2,12.2
20,"Хмель ""Жатецкий"" (Saaz)","2,8-3,2%",2889,2.8,3.2,3.0
21,"Хмель ""Носен бревер"" (Northern brewer)","7,7-8,2%",1698,7.7,8.2,7.949999999999999
22,"Хмель ""Наггет"" (Nugget)","10,2-12,6%",2117,10.2,12.6,11.399999999999999
23,"Хмель ""Халлертау Бланк"" (Hallertau Blanc)","7,9%",2194,7.9,7.9,7.9
24,"Хмель ""Мандарина Бавария""","7,8%",2190,7.8,7.8,7.8
25,"Хмель ""Шпальтер Селект"" (Shpalter Select)","2,9-4,7%",1858,2.9,4.7,3.8
26,"Хмель ""Каллиста"" (Callista)","2,8%",1993,2.8,2.8,2.8
27,Хмель Грейнрус Халлертауэр Традишн,"3,5%",,3.5,3.5,3.5
28,Хмель Мозаик (Mosaic),"11,4%",,11.4,11.4,11.4
29,Жатецкий Cпециальный,"2,8%",,2.8,2.8,2.8
