,name,address,link
0,Привычки,"Shevchenko 65 Almaty, Алматы",https://untappd.com/v/privychki-privychki/11273893
1,Share House,"3 строение 2 Oruzheynyy Pereulok Moskva, Москва",https://untappd.com/v/share-house/7728362
2,UnderBeer craft beer & cider,"7 мкр 12 Актау, Мангышлак (Map)Incorrect Information?Lear",https://untappd.com/v/underbeer-craft-beer-cider/12510314
3,Бирмаркет,"Ленина, 15 Реутов, Московская обл. (Map)Incorrect Information?Lear",https://untappd.com/v/birmarket/8288753
4,RULE taproom,"19 Starovagankovskiy per., str. 7 Moscow, Москва (Map)+7 (985) 168",https://untappd.com/v/rule-taproom/3363317
5,RULE taproom,"19 Starovagankovskiy per., str. 7 Moscow, Москва (Map)+7 (985) 168",https://untappd.com/v/rule-taproom/3363317
6,Untappd at Home,Four,https://untappd.com/v/at-home/9917985
7,RULE taproom,"19 Starovagankovskiy per., str. 7 Moscow, Москва (Map)+7 (985) 168",https://untappd.com/v/rule-taproom/3363317
8,Top Hop,"бул. Энтузиастов, 18  Набережные Челны, Татарстан (Map)Incorrect Information?Lear",https://untappd.com/v/top-hop/5805974
9,Untappd at Home,Four,https://untappd.com/v/at-home/9917985
10,Untappd at Home,Four,https://untappd.com/v/at-home/9917985
11,Top Hop,"бул. Энтузиастов, 18  Набережные Челны, Татарстан (Map)Incorrect Information?Lear",https://untappd.com/v/top-hop/5805974
